parent_sku,parent_desc,component_sku,component_desc,component_type,qty_per_unit,unit_cost_usd,supplier,warranty_months,mtbf_hours
DELLLATITUDEE5-I5-8.0-UNK,Dell Latitude E5440 (I5-8.0-UNK),DISP-DELLLATITUDEE5-G1,14in FHD IPS Display Panel,Display,1,74.4,Chicony,12,47678
DELLLATITUDEE5-I5-8.0-UNK,Dell Latitude E5440 (I5-8.0-UNK),BATT-DELLLATITUDEE5-G1,3-Cell Battery,Battery,1,29.13,Quanta,12,24635
DELLLATITUDEE5-I5-8.0-UNK,Dell Latitude E5440 (I5-8.0-UNK),SSD-DELLLATITUDEE5-G1,SSD/eMMC Storage,Storage,1,35.34,Quanta,12,80212
DELLLATITUDEE5-I5-8.0-UNK,Dell Latitude E5440 (I5-8.0-UNK),HNG-DELLLATITUDEE5-G1,Display Hinge Assembly,Chassis/Hinge,2,7.06,LG Chem,12,30541
DELLLATITUDEE5-I5-8.0-UNK,Dell Latitude E5440 (I5-8.0-UNK),KB-DELLLATITUDEE5-G1,Backlit Keyboard - US Layout,Keyboard,1,18.97,LG Display,12,59520
DELLLATITUDEE52-I5-16.0-500.0,Dell Latitude E5470 (I5-16.0-500.0),MB-DELLLATITUDEE52-G1,Motherboard Rev1,Motherboard,1,157.02,Foxconn,12,19154
DELLLATITUDEE52-I5-16.0-500.0,Dell Latitude E5470 (I5-16.0-500.0),DISP-DELLLATITUDEE52-G1,14in FHD IPS Display Panel,Display,1,71.93,AUO,12,46404
DELLLATITUDEE52-I5-16.0-500.0,Dell Latitude E5470 (I5-16.0-500.0),BATT-DELLLATITUDEE52-G1,3-Cell Battery,Battery,1,27.7,Quanta,12,24040
DELLLATITUDEE52-I5-16.0-500.0,Dell Latitude E5470 (I5-16.0-500.0),SSD-DELLLATITUDEE52-G1,SSD/eMMC Storage,Storage,1,39.15,Foxconn,12,81854
DELLLATITUDEE52-I5-16.0-500.0,Dell Latitude E5470 (I5-16.0-500.0),HNG-DELLLATITUDEE52-G1,Display Hinge Assembly,Chassis/Hinge,2,7.04,Wistron,12,30189
DELLLATITUDEE52-I5-16.0-500.0,Dell Latitude E5470 (I5-16.0-500.0),KB-DELLLATITUDEE52-G1,Backlit Keyboard - US Layout,Keyboard,1,19.28,Foxconn,12,58090
DELLLATITUDEE53-I5-16.0-UNK,Dell Latitude E5500 (I5-16.0-UNK),MB-DELLLATITUDEE53-G1,Motherboard Rev1,Motherboard,1,142.59,Chicony,12,18535
DELLLATITUDEE53-I5-16.0-UNK,Dell Latitude E5500 (I5-16.0-UNK),DISP-DELLLATITUDEE53-G1,14in FHD IPS Display Panel,Display,1,72.14,Foxconn,12,45661
DELLLATITUDEE53-I5-16.0-UNK,Dell Latitude E5500 (I5-16.0-UNK),BATT-DELLLATITUDEE53-G1,3-Cell Battery,Battery,1,30.06,Samsung SDI,12,24945
DELLLATITUDEE53-I5-16.0-UNK,Dell Latitude E5500 (I5-16.0-UNK),SSD-DELLLATITUDEE53-G1,SSD/eMMC Storage,Storage,1,37.71,Wistron,12,80229
DELLLATITUDEE53-I5-16.0-UNK,Dell Latitude E5500 (I5-16.0-UNK),HNG-DELLLATITUDEE53-G1,Display Hinge Assembly,Chassis/Hinge,2,6.45,AUO,12,31851
DELLLATITUDEE53-I5-16.0-UNK,Dell Latitude E5500 (I5-16.0-UNK),KB-DELLLATITUDEE53-G1,Backlit Keyboard - US Layout,Keyboard,1,18.99,Wistron,12,59709
DELLLATITUDEE54-I5-8.0-256.0,Dell Latitude E5550 (I5-8.0-256.0),MB-DELLLATITUDEE54-G1,Motherboard Rev1,Motherboard,1,152.19,Samsung SDI,12,18606
DELLLATITUDEE54-I5-8.0-256.0,Dell Latitude E5550 (I5-8.0-256.0),DISP-DELLLATITUDEE54-G1,14in FHD IPS Display Panel,Display,1,70.79,Wistron,12,46262
DELLLATITUDEE54-I5-8.0-256.0,Dell Latitude E5550 (I5-8.0-256.0),BATT-DELLLATITUDEE54-G1,3-Cell Battery,Battery,1,28.4,Chicony,12,23581
DELLLATITUDEE54-I5-8.0-256.0,Dell Latitude E5550 (I5-8.0-256.0),SSD-DELLLATITUDEE54-G1,SSD/eMMC Storage,Storage,1,46.43,Samsung,12,81396
DELLLATITUDEE54-I5-8.0-256.0,Dell Latitude E5550 (I5-8.0-256.0),HNG-DELLLATITUDEE54-G1,Display Hinge Assembly,Chassis/Hinge,2,6.57,LG Display,12,30724
DELLLATITUDEE54-I5-8.0-256.0,Dell Latitude E5550 (I5-8.0-256.0),KB-DELLLATITUDEE54-G1,Backlit Keyboard - US Layout,Keyboard,1,19.37,Compal,12,59994
DELLVARIOUSMOD-I5-8.0-0.0,Dell Various Models (I5-8.0-0.0),MB-DELLVARIOUSMOD-G1,Motherboard Rev1,Motherboard,1,158.79,LG Chem,12,21791
DELLVARIOUSMOD-I5-8.0-0.0,Dell Various Models (I5-8.0-0.0),DISP-DELLVARIOUSMOD-G1,14in FHD IPS Display Panel,Display,1,74.04,LG Chem,12,45725
DELLVARIOUSMOD-I5-8.0-0.0,Dell Various Models (I5-8.0-0.0),BATT-DELLVARIOUSMOD-G1,3-Cell Battery,Battery,1,30.68,Wistron,12,23867
DELLVARIOUSMOD-I5-8.0-0.0,Dell Various Models (I5-8.0-0.0),SSD-DELLVARIOUSMOD-G1,SSD/eMMC Storage,Storage,1,43.43,Darfon,12,81602
DELLVARIOUSMOD-I5-8.0-0.0,Dell Various Models (I5-8.0-0.0),HNG-DELLVARIOUSMOD-G1,Display Hinge Assembly,Chassis/Hinge,2,7.05,Chicony,12,31371
DELLVARIOUSMOD-I5-8.0-0.0,Dell Various Models (I5-8.0-0.0),KB-DELLVARIOUSMOD-G1,Backlit Keyboard - US Layout,Keyboard,1,19.42,Chicony,12,58508
HP15ESSENTIAL-I5-32.0-2000.0,HP 15 Essential (I5-32.0-2000.0),MB-HP15ESSENTIAL-G1,Motherboard Rev1,Motherboard,1,149.5,Chicony,12,20872
HP15ESSENTIAL-I5-32.0-2000.0,HP 15 Essential (I5-32.0-2000.0),DISP-HP15ESSENTIAL-G1,14in FHD IPS Display Panel,Display,1,68.7,Wistron,12,46927
HP15ESSENTIAL-I5-32.0-2000.0,HP 15 Essential (I5-32.0-2000.0),BATT-HP15ESSENTIAL-G1,3-Cell Battery,Battery,1,27.78,BOE,12,24216
HP15ESSENTIAL-I5-32.0-2000.0,HP 15 Essential (I5-32.0-2000.0),SSD-HP15ESSENTIAL-G1,SSD/eMMC Storage,Storage,1,35.45,Chicony,12,81784
HP15ESSENTIAL-I5-32.0-2000.0,HP 15 Essential (I5-32.0-2000.0),HNG-HP15ESSENTIAL-G1,Display Hinge Assembly,Chassis/Hinge,2,6.56,Wistron,12,31351
HP15ESSENTIAL-I5-32.0-2000.0,HP 15 Essential (I5-32.0-2000.0),KB-HP15ESSENTIAL-G1,Backlit Keyboard - US Layout,Keyboard,1,19.02,Darfon,12,58570
HPCHROMEBOOK11-CEL-4.0-16.0,HP Chromebook 11 G5 (CEL-4.0-16.0),MB-HPCHROMEBOOK11-G1,Motherboard Rev1,Motherboard,1,165.19,Chicony,12,19143
HPCHROMEBOOK11-CEL-4.0-16.0,HP Chromebook 11 G5 (CEL-4.0-16.0),DISP-HPCHROMEBOOK11-G1,14in FHD IPS Display Panel,Display,1,70.28,Samsung SDI,12,46637
HPCHROMEBOOK11-CEL-4.0-16.0,HP Chromebook 11 G5 (CEL-4.0-16.0),BATT-HPCHROMEBOOK11-G1,3-Cell Battery,Battery,1,29.79,Samsung SDI,12,24178
HPCHROMEBOOK11-CEL-4.0-16.0,HP Chromebook 11 G5 (CEL-4.0-16.0),SSD-HPCHROMEBOOK11-G1,SSD/eMMC Storage,Storage,1,47.18,LG Display,12,81796
HPCHROMEBOOK11-CEL-4.0-16.0,HP Chromebook 11 G5 (CEL-4.0-16.0),HNG-HPCHROMEBOOK11-G1,Display Hinge Assembly,Chassis/Hinge,2,7.08,LG Chem,12,31189
HPCHROMEBOOK11-CEL-4.0-16.0,HP Chromebook 11 G5 (CEL-4.0-16.0),KB-HPCHROMEBOOK11-G1,Backlit Keyboard - US Layout,Keyboard,1,19.48,Foxconn,12,58078
HPCHROMEBOOK112-CEL-4.0-16.0,HP Chromebook 11 G6 (CEL-4.0-16.0),MB-HPCHROMEBOOK112-G1,Motherboard Rev1,Motherboard,1,145.35,Compal,12,19415
HPCHROMEBOOK112-CEL-4.0-16.0,HP Chromebook 11 G6 (CEL-4.0-16.0),DISP-HPCHROMEBOOK112-G1,14in FHD IPS Display Panel,Display,1,72.74,Darfon,12,46787
HPCHROMEBOOK112-CEL-4.0-16.0,HP Chromebook 11 G6 (CEL-4.0-16.0),BATT-HPCHROMEBOOK112-G1,3-Cell Battery,Battery,1,29.47,Samsung SDI,12,23736
HPCHROMEBOOK112-CEL-4.0-16.0,HP Chromebook 11 G6 (CEL-4.0-16.0),SSD-HPCHROMEBOOK112-G1,SSD/eMMC Storage,Storage,1,36.93,SK Hynix,12,80389
HPCHROMEBOOK112-CEL-4.0-16.0,HP Chromebook 11 G6 (CEL-4.0-16.0),HNG-HPCHROMEBOOK112-G1,Display Hinge Assembly,Chassis/Hinge,2,6.58,AUO,12,30893
HPCHROMEBOOK112-CEL-4.0-16.0,HP Chromebook 11 G6 (CEL-4.0-16.0),KB-HPCHROMEBOOK112-G1,Backlit Keyboard - US Layout,Keyboard,1,18.9,Chicony,12,59102
HPCHROMEBOOK113-CEL-4.0-16.0,HP Chromebook 11 G6 EE (CEL-4.0-16.0),MB-HPCHROMEBOOK113-G1,Motherboard Rev1,Motherboard,1,160.53,AUO,12,21018
HPCHROMEBOOK113-CEL-4.0-16.0,HP Chromebook 11 G6 EE (CEL-4.0-16.0),DISP-HPCHROMEBOOK113-G1,14in FHD IPS Display Panel,Display,1,72.36,Darfon,12,46766
HPCHROMEBOOK113-CEL-4.0-16.0,HP Chromebook 11 G6 EE (CEL-4.0-16.0),BATT-HPCHROMEBOOK113-G1,3-Cell Battery,Battery,1,27.11,Quanta,12,24176
HPCHROMEBOOK113-CEL-4.0-16.0,HP Chromebook 11 G6 EE (CEL-4.0-16.0),SSD-HPCHROMEBOOK113-G1,SSD/eMMC Storage,Storage,1,41.33,Quanta,12,81736
HPCHROMEBOOK113-CEL-4.0-16.0,HP Chromebook 11 G6 EE (CEL-4.0-16.0),HNG-HPCHROMEBOOK113-G1,Display Hinge Assembly,Chassis/Hinge,2,6.49,Foxconn,12,31038
HPCHROMEBOOK113-CEL-4.0-16.0,HP Chromebook 11 G6 EE (CEL-4.0-16.0),KB-HPCHROMEBOOK113-G1,Backlit Keyboard - US Layout,Keyboard,1,19.09,Compal,12,58668
HPCHROMEBOOK114-UNK-4.0-16.0,HP Chromebook 11A G8 EE (UNK-4.0-16.0),MB-HPCHROMEBOOK114-G1,Motherboard Rev1,Motherboard,1,153.06,Foxconn,12,20270
HPCHROMEBOOK114-UNK-4.0-16.0,HP Chromebook 11A G8 EE (UNK-4.0-16.0),DISP-HPCHROMEBOOK114-G1,14in FHD IPS Display Panel,Display,1,68.83,Compal,12,47723
HPCHROMEBOOK114-UNK-4.0-16.0,HP Chromebook 11A G8 EE (UNK-4.0-16.0),BATT-HPCHROMEBOOK114-G1,3-Cell Battery,Battery,1,30.94,Quanta,12,23856
HPCHROMEBOOK114-UNK-4.0-16.0,HP Chromebook 11A G8 EE (UNK-4.0-16.0),SSD-HPCHROMEBOOK114-G1,SSD/eMMC Storage,Storage,1,41.19,Foxconn,12,80831
HPCHROMEBOOK114-UNK-4.0-16.0,HP Chromebook 11A G8 EE (UNK-4.0-16.0),HNG-HPCHROMEBOOK114-G1,Display Hinge Assembly,Chassis/Hinge,2,6.78,Wistron,12,30622
HPCHROMEBOOK114-UNK-4.0-16.0,HP Chromebook 11A G8 EE (UNK-4.0-16.0),KB-HPCHROMEBOOK114-G1,Backlit Keyboard - US Layout,Keyboard,1,19.07,Compal,12,59609
HPELITEX2G4-I5-16.0-UNK,HP Elite X2 G4 (I5-16.0-UNK),MB-HPELITEX2G4-G1,Motherboard Rev1,Motherboard,1,157.72,Quanta,12,19319
HPELITEX2G4-I5-16.0-UNK,HP Elite X2 G4 (I5-16.0-UNK),DISP-HPELITEX2G4-G1,14in FHD IPS Display Panel,Display,1,71.02,BOE,12,47767
HPELITEX2G4-I5-16.0-UNK,HP Elite X2 G4 (I5-16.0-UNK),BATT-HPELITEX2G4-G1,3-Cell Battery,Battery,1,27.74,BOE,12,23847
HPELITEX2G4-I5-16.0-UNK,HP Elite X2 G4 (I5-16.0-UNK),SSD-HPELITEX2G4-G1,SSD/eMMC Storage,Storage,1,41.99,Foxconn,12,81055
HPELITEX2G4-I5-16.0-UNK,HP Elite X2 G4 (I5-16.0-UNK),HNG-HPELITEX2G4-G1,Display Hinge Assembly,Chassis/Hinge,2,6.86,SK Hynix,12,30686
HPELITEX2G4-I5-16.0-UNK,HP Elite X2 G4 (I5-16.0-UNK),KB-HPELITEX2G4-G1,Backlit Keyboard - US Layout,Keyboard,1,18.96,Chicony,12,58481
HPELITEBOOK840-I7-UNK-2000.0,HP EliteBook 840 G6 (I7-UNK-2000.0),MB-HPELITEBOOK840-G1,Motherboard Rev1,Motherboard,1,160.16,Samsung,12,21303
HPELITEBOOK840-I7-UNK-2000.0,HP EliteBook 840 G6 (I7-UNK-2000.0),DISP-HPELITEBOOK840-G1,14in FHD IPS Display Panel,Display,1,69.29,Wistron,12,45189
HPELITEBOOK840-I7-UNK-2000.0,HP EliteBook 840 G6 (I7-UNK-2000.0),BATT-HPELITEBOOK840-G1,3-Cell Battery,Battery,1,27.88,BOE,12,24751
HPELITEBOOK840-I7-UNK-2000.0,HP EliteBook 840 G6 (I7-UNK-2000.0),SSD-HPELITEBOOK840-G1,SSD/eMMC Storage,Storage,1,45.52,LG Display,12,80932
HPELITEBOOK840-I7-UNK-2000.0,HP EliteBook 840 G6 (I7-UNK-2000.0),HNG-HPELITEBOOK840-G1,Display Hinge Assembly,Chassis/Hinge,2,6.69,Quanta,12,31178
HPELITEBOOK840-I7-UNK-2000.0,HP EliteBook 840 G6 (I7-UNK-2000.0),KB-HPELITEBOOK840-G1,Backlit Keyboard - US Layout,Keyboard,1,19.02,AUO,12,58786
HPPROBOOK650G2-I3-8.0-UNK,HP ProBook 650 G2 (I3-8.0-UNK),MB-HPPROBOOK650G2-G1,Motherboard Rev1,Motherboard,1,155.48,Samsung,12,18604
HPPROBOOK650G2-I3-8.0-UNK,HP ProBook 650 G2 (I3-8.0-UNK),DISP-HPPROBOOK650G2-G1,14in FHD IPS Display Panel,Display,1,72.26,Wistron,12,45436
HPPROBOOK650G2-I3-8.0-UNK,HP ProBook 650 G2 (I3-8.0-UNK),BATT-HPPROBOOK650G2-G1,3-Cell Battery,Battery,1,30.23,Samsung,12,23860
HPPROBOOK650G2-I3-8.0-UNK,HP ProBook 650 G2 (I3-8.0-UNK),SSD-HPPROBOOK650G2-G1,SSD/eMMC Storage,Storage,1,44.68,AUO,12,81060
HPPROBOOK650G2-I3-8.0-UNK,HP ProBook 650 G2 (I3-8.0-UNK),HNG-HPPROBOOK650G2-G1,Display Hinge Assembly,Chassis/Hinge,2,6.73,Samsung SDI,12,30510
HPPROBOOK650G2-I3-8.0-UNK,HP ProBook 650 G2 (I3-8.0-UNK),KB-HPPROBOOK650G2-G1,Backlit Keyboard - US Layout,Keyboard,1,19.45,LG Display,12,58934
HPPROBOOK650G3-I5-16.0-UNK,HP ProBook 650 G3 (I5-16.0-UNK),MB-HPPROBOOK650G3-G1,Motherboard Rev1,Motherboard,1,146.0,BOE,12,20734
HPPROBOOK650G3-I5-16.0-UNK,HP ProBook 650 G3 (I5-16.0-UNK),DISP-HPPROBOOK650G3-G1,14in FHD IPS Display Panel,Display,1,71.45,Samsung SDI,12,47438
HPPROBOOK650G3-I5-16.0-UNK,HP ProBook 650 G3 (I5-16.0-UNK),BATT-HPPROBOOK650G3-G1,3-Cell Battery,Battery,1,28.2,Chicony,12,24406
HPPROBOOK650G3-I5-16.0-UNK,HP ProBook 650 G3 (I5-16.0-UNK),SSD-HPPROBOOK650G3-G1,SSD/eMMC Storage,Storage,1,41.13,AUO,12,81826
HPPROBOOK650G3-I5-16.0-UNK,HP ProBook 650 G3 (I5-16.0-UNK),HNG-HPPROBOOK650G3-G1,Display Hinge Assembly,Chassis/Hinge,2,6.75,Samsung SDI,12,30913
HPPROBOOK650G3-I5-16.0-UNK,HP ProBook 650 G3 (I5-16.0-UNK),KB-HPPROBOOK650G3-G1,Backlit Keyboard - US Layout,Keyboard,1,19.44,AUO,12,59764
HPSAMSUNGCHROM-CEL-4.0-16.0,HP Samsung ChromeBook (CEL-4.0-16.0),MB-HPSAMSUNGCHROM-G1,Motherboard Rev1,Motherboard,1,154.96,Foxconn,12,21079
HPSAMSUNGCHROM-CEL-4.0-16.0,HP Samsung ChromeBook (CEL-4.0-16.0),DISP-HPSAMSUNGCHROM-G1,14in FHD IPS Display Panel,Display,1,69.61,Quanta,12,46135
HPSAMSUNGCHROM-CEL-4.0-16.0,HP Samsung ChromeBook (CEL-4.0-16.0),BATT-HPSAMSUNGCHROM-G1,3-Cell Battery,Battery,1,30.17,Samsung SDI,12,24492
HPSAMSUNGCHROM-CEL-4.0-16.0,HP Samsung ChromeBook (CEL-4.0-16.0),SSD-HPSAMSUNGCHROM-G1,SSD/eMMC Storage,Storage,1,41.39,Foxconn,12,80900
HPSAMSUNGCHROM-CEL-4.0-16.0,HP Samsung ChromeBook (CEL-4.0-16.0),HNG-HPSAMSUNGCHROM-G1,Display Hinge Assembly,Chassis/Hinge,2,6.45,Foxconn,12,30480
HPSAMSUNGCHROM-CEL-4.0-16.0,HP Samsung ChromeBook (CEL-4.0-16.0),KB-HPSAMSUNGCHROM-G1,Backlit Keyboard - US Layout,Keyboard,1,19.06,Darfon,12,59828
HPSAMSUNGCHROM2-I3-8.0-UNK,HP Samsung Chromebook 3 (I3-8.0-UNK),MB-HPSAMSUNGCHROM2-G1,Motherboard Rev1,Motherboard,1,156.68,LG Chem,12,18617
HPSAMSUNGCHROM2-I3-8.0-UNK,HP Samsung Chromebook 3 (I3-8.0-UNK),DISP-HPSAMSUNGCHROM2-G1,14in FHD IPS Display Panel,Display,1,69.5,AUO,12,45625
HPSAMSUNGCHROM2-I3-8.0-UNK,HP Samsung Chromebook 3 (I3-8.0-UNK),BATT-HPSAMSUNGCHROM2-G1,3-Cell Battery,Battery,1,29.91,LG Display,12,24349
HPSAMSUNGCHROM2-I3-8.0-UNK,HP Samsung Chromebook 3 (I3-8.0-UNK),SSD-HPSAMSUNGCHROM2-G1,SSD/eMMC Storage,Storage,1,37.34,Samsung SDI,12,80954
HPSAMSUNGCHROM2-I3-8.0-UNK,HP Samsung Chromebook 3 (I3-8.0-UNK),HNG-HPSAMSUNGCHROM2-G1,Display Hinge Assembly,Chassis/Hinge,2,6.69,Samsung,12,31705
HPSAMSUNGCHROM2-I3-8.0-UNK,HP Samsung Chromebook 3 (I3-8.0-UNK),KB-HPSAMSUNGCHROM2-G1,Backlit Keyboard - US Layout,Keyboard,1,19.15,Chicony,12,59196
HPT4M32UTABA-CEL-16.0-16.0,HP T4M32UT#ABA (CEL-16.0-16.0),MB-HPT4M32UTABA-G1,Motherboard Rev1,Motherboard,1,167.33,Wistron,12,21509
HPT4M32UTABA-CEL-16.0-16.0,HP T4M32UT#ABA (CEL-16.0-16.0),DISP-HPT4M32UTABA-G1,14in FHD IPS Display Panel,Display,1,73.72,SK Hynix,12,46558
HPT4M32UTABA-CEL-16.0-16.0,HP T4M32UT#ABA (CEL-16.0-16.0),BATT-HPT4M32UTABA-G1,3-Cell Battery,Battery,1,28.9,Darfon,12,24111
HPT4M32UTABA-CEL-16.0-16.0,HP T4M32UT#ABA (CEL-16.0-16.0),SSD-HPT4M32UTABA-G1,SSD/eMMC Storage,Storage,1,43.74,Compal,12,81102
HPT4M32UTABA-CEL-16.0-16.0,HP T4M32UT#ABA (CEL-16.0-16.0),HNG-HPT4M32UTABA-G1,Display Hinge Assembly,Chassis/Hinge,2,6.92,Samsung SDI,12,31638
HPT4M32UTABA-CEL-16.0-16.0,HP T4M32UT#ABA (CEL-16.0-16.0),KB-HPT4M32UTABA-G1,Backlit Keyboard - US Layout,Keyboard,1,19.26,Samsung,12,58999
LG17ZB90RKAAC7-I7-16.0-UNK,LG 17ZB90R-K.AAC7U1 (I7-16.0-UNK),MB-LG17ZB90RKAAC7-G1,Motherboard Rev1,Motherboard,1,148.26,Compal,12,19989
LG17ZB90RKAAC7-I7-16.0-UNK,LG 17ZB90R-K.AAC7U1 (I7-16.0-UNK),DISP-LG17ZB90RKAAC7-G1,14in FHD IPS Display Panel,Display,1,68.19,Darfon,12,47739
LG17ZB90RKAAC7-I7-16.0-UNK,LG 17ZB90R-K.AAC7U1 (I7-16.0-UNK),BATT-LG17ZB90RKAAC7-G1,3-Cell Battery,Battery,1,29.79,Compal,12,24983
LG17ZB90RKAAC7-I7-16.0-UNK,LG 17ZB90R-K.AAC7U1 (I7-16.0-UNK),SSD-LG17ZB90RKAAC7-G1,SSD/eMMC Storage,Storage,1,32.85,BOE,12,81883
LG17ZB90RKAAC7-I7-16.0-UNK,LG 17ZB90R-K.AAC7U1 (I7-16.0-UNK),HNG-LG17ZB90RKAAC7-G1,Display Hinge Assembly,Chassis/Hinge,2,6.49,SK Hynix,12,31093
LG17ZB90RKAAC7-I7-16.0-UNK,LG 17ZB90R-K.AAC7U1 (I7-16.0-UNK),KB-LG17ZB90RKAAC7-G1,Backlit Keyboard - US Layout,Keyboard,1,18.92,Compal,12,59212
LENOVO100E-CEL-UNK-UNK,Lenovo 100e (CEL-UNK-UNK),MB-LENOVO100E-G1,Motherboard Rev1,Motherboard,1,157.32,Wistron,12,18343
LENOVO100E-CEL-UNK-UNK,Lenovo 100e (CEL-UNK-UNK),DISP-LENOVO100E-G1,14in FHD IPS Display Panel,Display,1,72.18,LG Chem,12,46891
LENOVO100E-CEL-UNK-UNK,Lenovo 100e (CEL-UNK-UNK),BATT-LENOVO100E-G1,3-Cell Battery,Battery,1,27.6,Foxconn,12,24276
LENOVO100E-CEL-UNK-UNK,Lenovo 100e (CEL-UNK-UNK),SSD-LENOVO100E-G1,SSD/eMMC Storage,Storage,1,35.86,BOE,12,80669
LENOVO100E-CEL-UNK-UNK,Lenovo 100e (CEL-UNK-UNK),HNG-LENOVO100E-G1,Display Hinge Assembly,Chassis/Hinge,2,6.64,Compal,12,30569
LENOVO100E-CEL-UNK-UNK,Lenovo 100e (CEL-UNK-UNK),KB-LENOVO100E-G1,Backlit Keyboard - US Layout,Keyboard,1,19.35,Compal,12,58516
LENOVOL380-I5-16.0-UNK,Lenovo L380 (I5-16.0-UNK),MB-LENOVOL380-G1,Motherboard Rev1,Motherboard,1,164.42,BOE,12,18079
LENOVOL380-I5-16.0-UNK,Lenovo L380 (I5-16.0-UNK),DISP-LENOVOL380-G1,14in FHD IPS Display Panel,Display,1,72.87,Wistron,12,46433
LENOVOL380-I5-16.0-UNK,Lenovo L380 (I5-16.0-UNK),BATT-LENOVOL380-G1,3-Cell Battery,Battery,1,27.79,LG Display,12,24834
LENOVOL380-I5-16.0-UNK,Lenovo L380 (I5-16.0-UNK),SSD-LENOVOL380-G1,SSD/eMMC Storage,Storage,1,30.54,Wistron,12,81944
LENOVOL380-I5-16.0-UNK,Lenovo L380 (I5-16.0-UNK),HNG-LENOVOL380-G1,Display Hinge Assembly,Chassis/Hinge,2,6.57,Wistron,12,31272
LENOVOL380-I5-16.0-UNK,Lenovo L380 (I5-16.0-UNK),KB-LENOVOL380-G1,Backlit Keyboard - US Layout,Keyboard,1,18.99,LG Chem,12,58969
LENOVOLEGION5P-I7-16.0-UNK,Lenovo Legion 5 Pro 16IAH7 (I7-16.0-UNK),MB-LENOVOLEGION5P-G1,Motherboard Rev1,Motherboard,1,160.07,SK Hynix,12,21882
LENOVOLEGION5P-I7-16.0-UNK,Lenovo Legion 5 Pro 16IAH7 (I7-16.0-UNK),DISP-LENOVOLEGION5P-G1,14in FHD IPS Display Panel,Display,1,69.42,AUO,12,46049
LENOVOLEGION5P-I7-16.0-UNK,Lenovo Legion 5 Pro 16IAH7 (I7-16.0-UNK),BATT-LENOVOLEGION5P-G1,3-Cell Battery,Battery,1,30.17,LG Chem,12,24740
LENOVOLEGION5P-I7-16.0-UNK,Lenovo Legion 5 Pro 16IAH7 (I7-16.0-UNK),SSD-LENOVOLEGION5P-G1,SSD/eMMC Storage,Storage,1,41.03,AUO,12,81471
LENOVOLEGION5P-I7-16.0-UNK,Lenovo Legion 5 Pro 16IAH7 (I7-16.0-UNK),HNG-LENOVOLEGION5P-G1,Display Hinge Assembly,Chassis/Hinge,2,6.48,LG Chem,12,31975
LENOVOLEGION5P-I7-16.0-UNK,Lenovo Legion 5 Pro 16IAH7 (I7-16.0-UNK),KB-LENOVOLEGION5P-G1,Backlit Keyboard - US Layout,Keyboard,1,19.09,SK Hynix,12,58052
LENOVOT480-I5-16.0-UNK,Lenovo T480 (I5-16.0-UNK),MB-LENOVOT480-G1,Motherboard Rev1,Motherboard,1,166.88,SK Hynix,12,20774
LENOVOT480-I5-16.0-UNK,Lenovo T480 (I5-16.0-UNK),DISP-LENOVOT480-G1,14in FHD IPS Display Panel,Display,1,73.9,Compal,12,46624
LENOVOT480-I5-16.0-UNK,Lenovo T480 (I5-16.0-UNK),BATT-LENOVOT480-G1,3-Cell Battery,Battery,1,30.94,Samsung,12,23655
LENOVOT480-I5-16.0-UNK,Lenovo T480 (I5-16.0-UNK),SSD-LENOVOT480-G1,SSD/eMMC Storage,Storage,1,40.75,Quanta,12,80497
LENOVOT480-I5-16.0-UNK,Lenovo T480 (I5-16.0-UNK),HNG-LENOVOT480-G1,Display Hinge Assembly,Chassis/Hinge,2,6.47,Chicony,12,30617
LENOVOT480-I5-16.0-UNK,Lenovo T480 (I5-16.0-UNK),KB-LENOVOT480-G1,Backlit Keyboard - US Layout,Keyboard,1,19.41,SK Hynix,12,59649
LENOVOTHINKPAD-I5-8.0-256.0,Lenovo ThinkPad T440 (I5-8.0-256.0),MB-LENOVOTHINKPAD-G1,Motherboard Rev1,Motherboard,1,145.68,SK Hynix,12,21205
LENOVOTHINKPAD-I5-8.0-256.0,Lenovo ThinkPad T440 (I5-8.0-256.0),DISP-LENOVOTHINKPAD-G1,14in FHD IPS Display Panel,Display,1,68.27,Samsung SDI,12,46754
LENOVOTHINKPAD-I5-8.0-256.0,Lenovo ThinkPad T440 (I5-8.0-256.0),BATT-LENOVOTHINKPAD-G1,3-Cell Battery,Battery,1,29.71,LG Display,12,24536
LENOVOTHINKPAD-I5-8.0-256.0,Lenovo ThinkPad T440 (I5-8.0-256.0),SSD-LENOVOTHINKPAD-G1,SSD/eMMC Storage,Storage,1,41.78,Wistron,12,81739
LENOVOTHINKPAD-I5-8.0-256.0,Lenovo ThinkPad T440 (I5-8.0-256.0),HNG-LENOVOTHINKPAD-G1,Display Hinge Assembly,Chassis/Hinge,2,6.69,BOE,12,30216
LENOVOTHINKPAD-I5-8.0-256.0,Lenovo ThinkPad T440 (I5-8.0-256.0),KB-LENOVOTHINKPAD-G1,Backlit Keyboard - US Layout,Keyboard,1,19.16,Darfon,12,59301
LENOVOYOGA11E3-CEL-UNK-UNK,Lenovo Yoga 11e 3rd Gen. (CEL-UNK-UNK),MB-LENOVOYOGA11E3-G1,Motherboard Rev1,Motherboard,1,165.9,BOE,12,20897
LENOVOYOGA11E3-CEL-UNK-UNK,Lenovo Yoga 11e 3rd Gen. (CEL-UNK-UNK),DISP-LENOVOYOGA11E3-G1,14in FHD IPS Display Panel,Display,1,68.99,LG Chem,12,47137
