claim_id,parent_sku,component_sku,component_type,failure_date,failure_reason,within_warranty
WC-88206,DELLLATITUDE52-I5-8.0-128.0,SSD-DELLLATITUDE52-G1,Storage,2026-04-01,Drive not detected,True
WC-88207,DELLLATITUDE52-I5-8.0-128.0,KB-DELLLATITUDE52-G1,Keyboard,2026-03-15,Sticky keys after spill,True
WC-88208,DELLLATITUDE52-I5-8.0-128.0,KB-DELLLATITUDE52-G1,Keyboard,2026-05-28,Sticky keys after spill,True
WC-88209,DELLLATITUDE52-I5-8.0-128.0,DISP-DELLLATITUDE52-G1,Display,2026-02-27,Dead pixels,True
WC-88210,DELLLATITUDE52-I5-8.0-128.0,BATT-DELLLATITUDE52-G1,Battery,2026-04-05,Swelling,True
WC-88211,DELLLATITUDE52-I5-8.0-128.0,HNG-DELLLATITUDE52-G1,Chassis/Hinge,2026-02-27,Hinge cracked,True
WC-88212,DELLLATITUDE55-I5-16.0-512.0,KB-DELLLATITUDE55-G1,Keyboard,2026-01-07,Sticky keys after spill,False
WC-88213,DELLLATITUDE55-I5-16.0-512.0,HNG-DELLLATITUDE55-G1,Chassis/Hinge,2026-01-08,Hinge assembly snapped,True
WC-88214,DELLLATITUDE55-I5-16.0-512.0,DISP-DELLLATITUDE55-G1,Display,2026-03-28,Backlight bleed,True
WC-88215,DELLLATITUDE55-I5-16.0-512.0,DISP-DELLLATITUDE55-G1,Display,2026-05-25,Backlight bleed,True
WC-88216,DELLLATITUDE55-I5-16.0-512.0,KB-DELLLATITUDE55-G1,Keyboard,2026-01-24,Sticky keys after spill,True
WC-88217,DELLLATITUDE55-I5-16.0-512.0,MB-DELLLATITUDE55-G1,Motherboard,2026-04-18,Board fails POST,True
WC-88218,DELLLATITUDE55-I5-16.0-512.0,KB-DELLLATITUDE55-G1,Keyboard,2026-03-21,Sticky keys after spill,True
WC-88219,DELLLATITUDE55-I5-16.0-512.0,KB-DELLLATITUDE55-G1,Keyboard,2026-06-02,Keys unresponsive,False
WC-88220,DELLLATITUDE55-I5-16.0-512.0,SSD-DELLLATITUDE55-G1,Storage,2026-02-10,SMART errors / failing drive,True
WC-88221,DELLLATITUDE55-I5-16.0-512.0,BATT-DELLLATITUDE55-G1,Battery,2026-04-24,Won't hold charge,True
WC-88222,DELLLATITUDE74-I7-UNK-2000.0,BATT-DELLLATITUDE74-G1,Battery,2026-04-24,Battery not detected,True
WC-88223,DELLLATITUDE74-I7-UNK-2000.0,SSD-DELLLATITUDE74-G1,Storage,2026-01-30,Drive not detected,True
WC-88224,DELLLATITUDE74-I7-UNK-2000.0,MB-DELLLATITUDE74-G1,Motherboard,2026-06-23,Board fails POST,True
WC-88225,DELLLATITUDE74-I7-UNK-2000.0,DISP-DELLLATITUDE74-G1,Display,2026-01-12,Dead pixels,True
WC-88226,DELLLATITUDE74-I7-UNK-2000.0,SSD-DELLLATITUDE74-G1,Storage,2026-01-15,SMART errors / failing drive,True
WC-88227,DELLLATITUDE74-I7-UNK-2000.0,BATT-DELLLATITUDE74-G1,Battery,2026-07-16,Swelling,True
WC-88228,DELLLATITUDE74-I7-UNK-2000.0,SSD-DELLLATITUDE74-G1,Storage,2026-03-25,SMART errors / failing drive,True
WC-88229,DELLLATITUDE74-I7-UNK-2000.0,HNG-DELLLATITUDE74-G1,Chassis/Hinge,2026-02-14,Hinge assembly snapped,True
WC-88230,DELLLATITUDE74-I7-UNK-2000.0,KB-DELLLATITUDE74-G1,Keyboard,2026-05-09,Sticky keys after spill,True
WC-88231,DELLLATITUDE74-I7-UNK-2000.0,DISP-DELLLATITUDE74-G1,Display,2026-01-19,Backlight bleed,True
WC-88232,DELLLATITUDE742-I7-16.0-512.0,KB-DELLLATITUDE742-G1,Keyboard,2026-04-22,Keys unresponsive,True
WC-88233,DELLLATITUDE742-I7-16.0-512.0,DISP-DELLLATITUDE742-G1,Display,2026-03-22,Backlight bleed,True
WC-88234,DELLLATITUDE742-I7-16.0-512.0,BATT-DELLLATITUDE742-G1,Battery,2026-03-16,Swelling,True
WC-88235,DELLLATITUDE742-I7-16.0-512.0,KB-DELLLATITUDE742-G1,Keyboard,2026-02-13,Sticky keys after spill,True
WC-88236,DELLLATITUDE742-I7-16.0-512.0,SSD-DELLLATITUDE742-G1,Storage,2026-01-23,Drive not detected,True
WC-88237,DELLLATITUDE742-I7-16.0-512.0,MB-DELLLATITUDE742-G1,Motherboard,2026-04-22,Board fails POST,True
WC-88238,DELLLATITUDE742-I7-16.0-512.0,HNG-DELLLATITUDE742-G1,Chassis/Hinge,2026-03-21,Loose hinge / screen wobble,True
WC-88239,DELLLATITUDE742-I7-16.0-512.0,MB-DELLLATITUDE742-G1,Motherboard,2026-07-19,Charging circuit failure,True
WC-88240,DELLLATITUDE742-I7-16.0-512.0,DISP-DELLLATITUDE742-G1,Display,2026-05-16,Dead pixels,False
WC-88241,DELLLATITUDE742-I7-16.0-512.0,SSD-DELLLATITUDE742-G1,Storage,2026-03-31,SMART errors / failing drive,True
WC-88242,DELLLATITUDE743-I7-UNK-2000.0,BATT-DELLLATITUDE743-G1,Battery,2026-03-07,Swelling,True
WC-88243,DELLLATITUDE743-I7-UNK-2000.0,HNG-DELLLATITUDE743-G1,Chassis/Hinge,2026-07-14,Loose hinge / screen wobble,True
WC-88244,DELLLATITUDE743-I7-UNK-2000.0,KB-DELLLATITUDE743-G1,Keyboard,2026-04-29,Sticky keys after spill,True
WC-88245,DELLLATITUDE743-I7-UNK-2000.0,KB-DELLLATITUDE743-G1,Keyboard,2026-06-24,Sticky keys after spill,True
WC-88246,DELLLATITUDE743-I7-UNK-2000.0,BATT-DELLLATITUDE743-G1,Battery,2026-06-10,Battery not detected,True
WC-88247,DELLLATITUDE743-I7-UNK-2000.0,HNG-DELLLATITUDE743-G1,Chassis/Hinge,2026-05-01,Hinge cracked,True
WC-88248,DELLLATITUDE743-I7-UNK-2000.0,SSD-DELLLATITUDE743-G1,Storage,2026-06-01,SMART errors / failing drive,True
WC-88249,DELLLATITUDE743-I7-UNK-2000.0,BATT-DELLLATITUDE743-G1,Battery,2026-03-21,Battery not detected,True
WC-88250,DELLLATITUDE743-I7-UNK-2000.0,DISP-DELLLATITUDE743-G1,Display,2026-04-05,Backlight bleed,True
WC-88251,DELLLATITUDE743-I7-UNK-2000.0,BATT-DELLLATITUDE743-G1,Battery,2026-06-07,Won't hold charge,True
WC-88252,DELLLATITUDEE5-I5-8.0-UNK,SSD-DELLLATITUDEE5-G1,Storage,2026-05-29,SMART errors / failing drive,True
WC-88253,DELLLATITUDEE5-I5-8.0-UNK,KB-DELLLATITUDEE5-G1,Keyboard,2026-06-16,Keys unresponsive,True
WC-88254,DELLLATITUDEE5-I5-8.0-UNK,KB-DELLLATITUDEE5-G1,Keyboard,2026-05-09,Keys unresponsive,False
WC-88255,DELLLATITUDEE5-I5-8.0-UNK,DISP-DELLLATITUDEE5-G1,Display,2026-01-27,Backlight bleed,False
WC-88256,DELLLATITUDEE5-I5-8.0-UNK,DISP-DELLLATITUDEE5-G1,Display,2026-05-10,Dead pixels,True
WC-88257,DELLLATITUDEE5-I5-8.0-UNK,KB-DELLLATITUDEE5-G1,Keyboard,2026-04-23,Sticky keys after spill,True
WC-88258,DELLLATITUDEE5-I5-8.0-UNK,MB-DELLLATITUDEE5-G1,Motherboard,2026-04-04,Random shutdowns,False
WC-88259,DELLLATITUDEE5-I5-8.0-UNK,SSD-DELLLATITUDEE5-G1,Storage,2026-04-15,Drive not detected,True
WC-88260,DELLLATITUDEE5-I5-8.0-UNK,SSD-DELLLATITUDEE5-G1,Storage,2026-07-22,Drive not detected,True
WC-88261,DELLLATITUDEE5-I5-8.0-UNK,KB-DELLLATITUDEE5-G1,Keyboard,2026-05-23,Sticky keys after spill,True
WC-88262,DELLLATITUDEE52-I5-16.0-500.0,DISP-DELLLATITUDEE52-G1,Display,2026-07-05,Dead pixels,True
WC-88263,DELLLATITUDEE52-I5-16.0-500.0,DISP-DELLLATITUDEE52-G1,Display,2026-06-19,Dead pixels,False
WC-88264,DELLLATITUDEE52-I5-16.0-500.0,SSD-DELLLATITUDEE52-G1,Storage,2026-06-17,Drive not detected,True
WC-88265,DELLLATITUDEE52-I5-16.0-500.0,HNG-DELLLATITUDEE52-G1,Chassis/Hinge,2026-03-21,Loose hinge / screen wobble,True
WC-88266,DELLLATITUDEE52-I5-16.0-500.0,HNG-DELLLATITUDEE52-G1,Chassis/Hinge,2026-07-28,Hinge assembly snapped,True
WC-88267,DELLLATITUDEE52-I5-16.0-500.0,BATT-DELLLATITUDEE52-G1,Battery,2026-01-24,Won't hold charge,True
WC-88268,DELLLATITUDEE52-I5-16.0-500.0,DISP-DELLLATITUDEE52-G1,Display,2026-04-03,Dead pixels,True
WC-88269,DELLLATITUDEE52-I5-16.0-500.0,BATT-DELLLATITUDEE52-G1,Battery,2026-02-24,Battery not detected,False
WC-88270,DELLLATITUDEE52-I5-16.0-500.0,HNG-DELLLATITUDEE52-G1,Chassis/Hinge,2026-02-19,Hinge assembly snapped,False
WC-88271,DELLLATITUDEE52-I5-16.0-500.0,MB-DELLLATITUDEE52-G1,Motherboard,2026-01-20,Random shutdowns,True
WC-88272,DELLLATITUDEE53-I5-16.0-UNK,DISP-DELLLATITUDEE53-G1,Display,2026-05-10,Dead pixels,True
WC-88273,DELLLATITUDEE53-I5-16.0-UNK,DISP-DELLLATITUDEE53-G1,Display,2026-06-02,Backlight bleed,True
WC-88274,DELLLATITUDEE53-I5-16.0-UNK,MB-DELLLATITUDEE53-G1,Motherboard,2026-06-27,Charging circuit failure,True
WC-88275,DELLLATITUDEE53-I5-16.0-UNK,KB-DELLLATITUDEE53-G1,Keyboard,2026-04-16,Backlight failure,True
WC-88276,DELLLATITUDEE53-I5-16.0-UNK,HNG-DELLLATITUDEE53-G1,Chassis/Hinge,2026-04-24,Loose hinge / screen wobble,True
WC-88277,DELLLATITUDEE53-I5-16.0-UNK,BATT-DELLLATITUDEE53-G1,Battery,2026-03-01,Won't hold charge,True
WC-88278,DELLLATITUDEE53-I5-16.0-UNK,SSD-DELLLATITUDEE53-G1,Storage,2026-02-19,Drive not detected,True
WC-88279,DELLLATITUDEE53-I5-16.0-UNK,HNG-DELLLATITUDEE53-G1,Chassis/Hinge,2026-04-23,Hinge cracked,True
WC-88280,DELLLATITUDEE53-I5-16.0-UNK,MB-DELLLATITUDEE53-G1,Motherboard,2026-05-09,Board fails POST,False
WC-88281,DELLLATITUDEE53-I5-16.0-UNK,MB-DELLLATITUDEE53-G1,Motherboard,2026-07-25,Charging circuit failure,True
WC-88282,DELLLATITUDEE54-I5-8.0-256.0,DISP-DELLLATITUDEE54-G1,Display,2026-06-14,Backlight bleed,True
WC-88283,DELLLATITUDEE54-I5-8.0-256.0,MB-DELLLATITUDEE54-G1,Motherboard,2026-01-27,No power / dead board,True
WC-88284,DELLLATITUDEE54-I5-8.0-256.0,MB-DELLLATITUDEE54-G1,Motherboard,2026-03-11,Board fails POST,False
WC-88285,DELLLATITUDEE54-I5-8.0-256.0,DISP-DELLLATITUDEE54-G1,Display,2026-04-22,Dead pixels,False
WC-88286,DELLLATITUDEE54-I5-8.0-256.0,BATT-DELLLATITUDEE54-G1,Battery,2026-07-29,Battery not detected,False
WC-88287,DELLLATITUDEE54-I5-8.0-256.0,KB-DELLLATITUDEE54-G1,Keyboard,2026-04-17,Keys unresponsive,True
WC-88288,DELLLATITUDEE54-I5-8.0-256.0,BATT-DELLLATITUDEE54-G1,Battery,2026-03-02,Battery not detected,False
WC-88289,DELLLATITUDEE54-I5-8.0-256.0,DISP-DELLLATITUDEE54-G1,Display,2026-02-27,Dead pixels,True
WC-88290,DELLLATITUDEE54-I5-8.0-256.0,SSD-DELLLATITUDEE54-G1,Storage,2026-07-02,Drive not detected,True
WC-88291,DELLLATITUDEE54-I5-8.0-256.0,MB-DELLLATITUDEE54-G1,Motherboard,2026-01-10,Random shutdowns,False
WC-88292,DELLVARIOUSMOD-I5-8.0-0.0,KB-DELLVARIOUSMOD-G1,Keyboard,2026-06-28,Keys unresponsive,True
WC-88293,DELLVARIOUSMOD-I5-8.0-0.0,SSD-DELLVARIOUSMOD-G1,Storage,2026-04-25,SMART errors / failing drive,False
WC-88294,DELLVARIOUSMOD-I5-8.0-0.0,SSD-DELLVARIOUSMOD-G1,Storage,2026-03-07,SMART errors / failing drive,True
WC-88295,DELLVARIOUSMOD-I5-8.0-0.0,MB-DELLVARIOUSMOD-G1,Motherboard,2026-07-06,Board fails POST,True
WC-88296,DELLVARIOUSMOD-I5-8.0-0.0,HNG-DELLVARIOUSMOD-G1,Chassis/Hinge,2026-03-02,Hinge cracked,True
WC-88297,DELLVARIOUSMOD-I5-8.0-0.0,KB-DELLVARIOUSMOD-G1,Keyboard,2026-04-18,Sticky keys after spill,True
WC-88298,DELLVARIOUSMOD-I5-8.0-0.0,BATT-DELLVARIOUSMOD-G1,Battery,2026-01-17,Swelling,True
WC-88299,DELLVARIOUSMOD-I5-8.0-0.0,SSD-DELLVARIOUSMOD-G1,Storage,2026-06-02,SMART errors / failing drive,True
WC-88300,DELLVARIOUSMOD-I5-8.0-0.0,HNG-DELLVARIOUSMOD-G1,Chassis/Hinge,2026-03-03,Loose hinge / screen wobble,True
WC-88301,DELLVARIOUSMOD-I5-8.0-0.0,SSD-DELLVARIOUSMOD-G1,Storage,2026-01-01,Drive not detected,True
WC-88302,HP15ESSENTIAL-I5-32.0-2000.0,KB-HP15ESSENTIAL-G1,Keyboard,2026-02-17,Sticky keys after spill,True
WC-88303,HP15ESSENTIAL-I5-32.0-2000.0,HNG-HP15ESSENTIAL-G1,Chassis/Hinge,2026-04-03,Hinge assembly snapped,False
WC-88304,HP15ESSENTIAL-I5-32.0-2000.0,BATT-HP15ESSENTIAL-G1,Battery,2026-05-10,Won't hold charge,True
WC-88305,HP15ESSENTIAL-I5-32.0-2000.0,BATT-HP15ESSENTIAL-G1,Battery,2026-05-01,Swelling,True
WC-88306,HP15ESSENTIAL-I5-32.0-2000.0,KB-HP15ESSENTIAL-G1,Keyboard,2026-03-06,Sticky keys after spill,True
WC-88307,HP15ESSENTIAL-I5-32.0-2000.0,DISP-HP15ESSENTIAL-G1,Display,2026-03-30,Dead pixels,True
WC-88308,HP15ESSENTIAL-I5-32.0-2000.0,DISP-HP15ESSENTIAL-G1,Display,2026-07-17,Backlight bleed,True
WC-88309,HP15ESSENTIAL-I5-32.0-2000.0,KB-HP15ESSENTIAL-G1,Keyboard,2026-05-20,Backlight failure,True
WC-88310,HP15ESSENTIAL-I5-32.0-2000.0,BATT-HP15ESSENTIAL-G1,Battery,2026-07-19,Won't hold charge,True
WC-88311,HP15ESSENTIAL-I5-32.0-2000.0,DISP-HP15ESSENTIAL-G1,Display,2026-06-11,Dead pixels,True
WC-88312,HPCHROMEBOOK11-CEL-4.0-16.0,MB-HPCHROMEBOOK11-G1,Motherboard,2026-07-03,Board fails POST,True
WC-88313,HPCHROMEBOOK11-CEL-4.0-16.0,DISP-HPCHROMEBOOK11-G1,Display,2026-01-12,Dead pixels,False
WC-88314,HPCHROMEBOOK11-CEL-4.0-16.0,SSD-HPCHROMEBOOK11-G1,Storage,2026-03-21,Drive not detected,False
WC-88315,HPCHROMEBOOK11-CEL-4.0-16.0,KB-HPCHROMEBOOK11-G1,Keyboard,2026-05-02,Backlight failure,True
WC-88316,HPCHROMEBOOK11-CEL-4.0-16.0,SSD-HPCHROMEBOOK11-G1,Storage,2026-03-15,Drive not detected,True
WC-88317,HPCHROMEBOOK11-CEL-4.0-16.0,HNG-HPCHROMEBOOK11-G1,Chassis/Hinge,2026-06-17,Hinge cracked,True
WC-88318,HPCHROMEBOOK11-CEL-4.0-16.0,MB-HPCHROMEBOOK11-G1,Motherboard,2026-04-22,Board fails POST,True
WC-88319,HPCHROMEBOOK11-CEL-4.0-16.0,MB-HPCHROMEBOOK11-G1,Motherboard,2026-03-28,Charging circuit failure,True
WC-88320,HPCHROMEBOOK11-CEL-4.0-16.0,BATT-HPCHROMEBOOK11-G1,Battery,2026-04-05,Won't hold charge,True
WC-88321,HPCHROMEBOOK11-CEL-4.0-16.0,KB-HPCHROMEBOOK11-G1,Keyboard,2026-07-06,Backlight failure,True
WC-88322,HPCHROMEBOOK112-CEL-4.0-16.0,BATT-HPCHROMEBOOK112-G1,Battery,2026-07-30,Swelling,True
WC-88323,HPCHROMEBOOK112-CEL-4.0-16.0,HNG-HPCHROMEBOOK112-G1,Chassis/Hinge,2026-01-27,Hinge assembly snapped,True
WC-88324,HPCHROMEBOOK112-CEL-4.0-16.0,BATT-HPCHROMEBOOK112-G1,Battery,2026-03-20,Battery not detected,True
WC-88325,HPCHROMEBOOK112-CEL-4.0-16.0,DISP-HPCHROMEBOOK112-G1,Display,2026-02-12,Backlight bleed,True
WC-88326,HPCHROMEBOOK112-CEL-4.0-16.0,KB-HPCHROMEBOOK112-G1,Keyboard,2026-07-06,Backlight failure,True
WC-88327,HPCHROMEBOOK112-CEL-4.0-16.0,KB-HPCHROMEBOOK112-G1,Keyboard,2026-03-12,Sticky keys after spill,False
WC-88328,HPCHROMEBOOK112-CEL-4.0-16.0,HNG-HPCHROMEBOOK112-G1,Chassis/Hinge,2026-01-20,Loose hinge / screen wobble,True
WC-88329,HPCHROMEBOOK112-CEL-4.0-16.0,BATT-HPCHROMEBOOK112-G1,Battery,2026-05-12,Won't hold charge,True
WC-88330,HPCHROMEBOOK112-CEL-4.0-16.0,SSD-HPCHROMEBOOK112-G1,Storage,2026-02-06,Drive not detected,True
WC-88331,HPCHROMEBOOK112-CEL-4.0-16.0,DISP-HPCHROMEBOOK112-G1,Display,2026-03-02,Backlight bleed,True
WC-88332,HPCHROMEBOOK113-CEL-4.0-16.0,DISP-HPCHROMEBOOK113-G1,Display,2026-01-09,Dead pixels,True
WC-88333,HPCHROMEBOOK113-CEL-4.0-16.0,KB-HPCHROMEBOOK113-G1,Keyboard,2026-04-06,Backlight failure,True
WC-88334,HPCHROMEBOOK113-CEL-4.0-16.0,DISP-HPCHROMEBOOK113-G1,Display,2026-02-05,Backlight bleed,True
WC-88335,HPCHROMEBOOK113-CEL-4.0-16.0,MB-HPCHROMEBOOK113-G1,Motherboard,2026-03-05,No power / dead board,True
WC-88336,HPCHROMEBOOK113-CEL-4.0-16.0,DISP-HPCHROMEBOOK113-G1,Display,2026-05-08,Backlight bleed,False
WC-88337,HPCHROMEBOOK113-CEL-4.0-16.0,MB-HPCHROMEBOOK113-G1,Motherboard,2026-03-09,Random shutdowns,True
WC-88338,HPCHROMEBOOK113-CEL-4.0-16.0,BATT-HPCHROMEBOOK113-G1,Battery,2026-06-06,Battery not detected,True
WC-88339,HPCHROMEBOOK113-CEL-4.0-16.0,BATT-HPCHROMEBOOK113-G1,Battery,2026-02-21,Swelling,True
WC-88340,HPCHROMEBOOK113-CEL-4.0-16.0,HNG-HPCHROMEBOOK113-G1,Chassis/Hinge,2026-04-26,Hinge assembly snapped,False
WC-88341,HPCHROMEBOOK113-CEL-4.0-16.0,SSD-HPCHROMEBOOK113-G1,Storage,2026-01-23,Drive not detected,True
WC-88342,HPCHROMEBOOK114-UNK-4.0-16.0,SSD-HPCHROMEBOOK114-G1,Storage,2026-05-21,Drive not detected,False
WC-88343,HPCHROMEBOOK114-UNK-4.0-16.0,DISP-HPCHROMEBOOK114-G1,Display,2026-07-02,Dead pixels,True
WC-88344,HPCHROMEBOOK114-UNK-4.0-16.0,BATT-HPCHROMEBOOK114-G1,Battery,2026-02-27,Swelling,False
WC-88345,HPCHROMEBOOK114-UNK-4.0-16.0,MB-HPCHROMEBOOK114-G1,Motherboard,2026-03-02,Board fails POST,True
WC-88346,HPCHROMEBOOK114-UNK-4.0-16.0,DISP-HPCHROMEBOOK114-G1,Display,2026-05-27,Backlight bleed,True
WC-88347,HPCHROMEBOOK114-UNK-4.0-16.0,DISP-HPCHROMEBOOK114-G1,Display,2026-02-03,Dead pixels,True
WC-88348,HPCHROMEBOOK114-UNK-4.0-16.0,MB-HPCHROMEBOOK114-G1,Motherboard,2026-07-03,Board fails POST,True
WC-88349,HPCHROMEBOOK114-UNK-4.0-16.0,DISP-HPCHROMEBOOK114-G1,Display,2026-07-30,Dead pixels,True
WC-88350,HPCHROMEBOOK114-UNK-4.0-16.0,HNG-HPCHROMEBOOK114-G1,Chassis/Hinge,2026-06-14,Hinge assembly snapped,True
WC-88351,HPCHROMEBOOK114-UNK-4.0-16.0,HNG-HPCHROMEBOOK114-G1,Chassis/Hinge,2026-03-30,Hinge assembly snapped,True
WC-88352,HPELITEBOOK840-I7-UNK-2000.0,BATT-HPELITEBOOK840-G1,Battery,2026-06-13,Won't hold charge,True
WC-88353,HPELITEBOOK840-I7-UNK-2000.0,MB-HPELITEBOOK840-G1,Motherboard,2026-04-21,No power / dead board,True
WC-88354,HPELITEBOOK840-I7-UNK-2000.0,DISP-HPELITEBOOK840-G1,Display,2026-02-09,Backlight bleed,True
WC-88355,HPELITEBOOK840-I7-UNK-2000.0,MB-HPELITEBOOK840-G1,Motherboard,2026-07-01,Charging circuit failure,True
WC-88356,HPELITEBOOK840-I7-UNK-2000.0,HNG-HPELITEBOOK840-G1,Chassis/Hinge,2026-03-14,Hinge assembly snapped,True
WC-88357,HPELITEBOOK840-I7-UNK-2000.0,MB-HPELITEBOOK840-G1,Motherboard,2026-03-12,Charging circuit failure,True
WC-88358,HPELITEBOOK840-I7-UNK-2000.0,SSD-HPELITEBOOK840-G1,Storage,2026-01-24,SMART errors / failing drive,True
WC-88359,HPELITEBOOK840-I7-UNK-2000.0,DISP-HPELITEBOOK840-G1,Display,2026-02-09,Dead pixels,True
WC-88360,HPELITEBOOK840-I7-UNK-2000.0,HNG-HPELITEBOOK840-G1,Chassis/Hinge,2026-03-28,Loose hinge / screen wobble,True
WC-88361,HPELITEBOOK840-I7-UNK-2000.0,MB-HPELITEBOOK840-G1,Motherboard,2026-01-21,No power / dead board,False
WC-88362,HPELITEX2G4-I5-16.0-UNK,KB-HPELITEX2G4-G1,Keyboard,2026-03-09,Sticky keys after spill,True
WC-88363,HPELITEX2G4-I5-16.0-UNK,SSD-HPELITEX2G4-G1,Storage,2026-04-17,SMART errors / failing drive,True
WC-88364,HPELITEX2G4-I5-16.0-UNK,KB-HPELITEX2G4-G1,Keyboard,2026-03-16,Sticky keys after spill,False
WC-88365,HPELITEX2G4-I5-16.0-UNK,DISP-HPELITEX2G4-G1,Display,2026-03-04,Backlight bleed,True
WC-88366,HPELITEX2G4-I5-16.0-UNK,KB-HPELITEX2G4-G1,Keyboard,2026-06-26,Keys unresponsive,True
WC-88367,HPELITEX2G4-I5-16.0-UNK,MB-HPELITEX2G4-G1,Motherboard,2026-05-04,Board fails POST,True
WC-88368,HPELITEX2G4-I5-16.0-UNK,DISP-HPELITEX2G4-G1,Display,2026-02-06,Backlight bleed,True
WC-88369,HPELITEX2G4-I5-16.0-UNK,KB-HPELITEX2G4-G1,Keyboard,2026-07-07,Backlight failure,False
WC-88370,HPELITEX2G4-I5-16.0-UNK,DISP-HPELITEX2G4-G1,Display,2026-07-14,Backlight bleed,True
WC-88371,HPELITEX2G4-I5-16.0-UNK,MB-HPELITEX2G4-G1,Motherboard,2026-03-23,Charging circuit failure,True
WC-88372,HPPROBOOK650G2-I3-8.0-UNK,HNG-HPPROBOOK650G2-G1,Chassis/Hinge,2026-04-26,Hinge assembly snapped,True
WC-88373,HPPROBOOK650G2-I3-8.0-UNK,HNG-HPPROBOOK650G2-G1,Chassis/Hinge,2026-03-16,Hinge cracked,True
WC-88374,HPPROBOOK650G2-I3-8.0-UNK,BATT-HPPROBOOK650G2-G1,Battery,2026-03-05,Swelling,True
WC-88375,HPPROBOOK650G2-I3-8.0-UNK,KB-HPPROBOOK650G2-G1,Keyboard,2026-07-04,Backlight failure,True
WC-88376,HPPROBOOK650G2-I3-8.0-UNK,SSD-HPPROBOOK650G2-G1,Storage,2026-05-08,Drive not detected,True
WC-88377,HPPROBOOK650G2-I3-8.0-UNK,DISP-HPPROBOOK650G2-G1,Display,2026-05-08,Dead pixels,True
WC-88378,HPPROBOOK650G2-I3-8.0-UNK,KB-HPPROBOOK650G2-G1,Keyboard,2026-05-10,Backlight failure,False
WC-88379,HPPROBOOK650G2-I3-8.0-UNK,KB-HPPROBOOK650G2-G1,Keyboard,2026-05-30,Backlight failure,True
WC-88380,HPPROBOOK650G2-I3-8.0-UNK,MB-HPPROBOOK650G2-G1,Motherboard,2026-05-07,Board fails POST,True
WC-88381,HPPROBOOK650G2-I3-8.0-UNK,BATT-HPPROBOOK650G2-G1,Battery,2026-01-28,Battery not detected,True
WC-88382,HPPROBOOK650G3-I5-16.0-UNK,KB-HPPROBOOK650G3-G1,Keyboard,2026-07-06,Backlight failure,True
WC-88383,HPPROBOOK650G3-I5-16.0-UNK,SSD-HPPROBOOK650G3-G1,Storage,2026-01-12,Drive not detected,True
WC-88384,HPPROBOOK650G3-I5-16.0-UNK,MB-HPPROBOOK650G3-G1,Motherboard,2026-02-19,Random shutdowns,True
WC-88385,HPPROBOOK650G3-I5-16.0-UNK,HNG-HPPROBOOK650G3-G1,Chassis/Hinge,2026-04-09,Loose hinge / screen wobble,True
WC-88386,HPPROBOOK650G3-I5-16.0-UNK,SSD-HPPROBOOK650G3-G1,Storage,2026-03-13,SMART errors / failing drive,True
WC-88387,HPPROBOOK650G3-I5-16.0-UNK,SSD-HPPROBOOK650G3-G1,Storage,2026-04-11,Drive not detected,True
WC-88388,HPPROBOOK650G3-I5-16.0-UNK,SSD-HPPROBOOK650G3-G1,Storage,2026-05-23,Drive not detected,True
WC-88389,HPPROBOOK650G3-I5-16.0-UNK,MB-HPPROBOOK650G3-G1,Motherboard,2026-06-04,Board fails POST,True
WC-88390,HPPROBOOK650G3-I5-16.0-UNK,SSD-HPPROBOOK650G3-G1,Storage,2026-01-10,SMART errors / failing drive,True
WC-88391,HPPROBOOK650G3-I5-16.0-UNK,BATT-HPPROBOOK650G3-G1,Battery,2026-05-13,Battery not detected,True
WC-88392,HPSAMSUNGCHROM-CEL-4.0-16.0,MB-HPSAMSUNGCHROM-G1,Motherboard,2026-02-05,Random shutdowns,False
WC-88393,HPSAMSUNGCHROM-CEL-4.0-16.0,KB-HPSAMSUNGCHROM-G1,Keyboard,2026-02-11,Backlight failure,False
WC-88394,HPSAMSUNGCHROM-CEL-4.0-16.0,SSD-HPSAMSUNGCHROM-G1,Storage,2026-06-01,Drive not detected,True
WC-88395,HPSAMSUNGCHROM-CEL-4.0-16.0,BATT-HPSAMSUNGCHROM-G1,Battery,2026-05-17,Battery not detected,True
WC-88396,HPSAMSUNGCHROM-CEL-4.0-16.0,MB-HPSAMSUNGCHROM-G1,Motherboard,2026-05-02,No power / dead board,True
WC-88397,HPSAMSUNGCHROM-CEL-4.0-16.0,BATT-HPSAMSUNGCHROM-G1,Battery,2026-04-17,Won't hold charge,True
WC-88398,HPSAMSUNGCHROM-CEL-4.0-16.0,KB-HPSAMSUNGCHROM-G1,Keyboard,2026-06-02,Backlight failure,True
WC-88399,HPSAMSUNGCHROM-CEL-4.0-16.0,HNG-HPSAMSUNGCHROM-G1,Chassis/Hinge,2026-05-28,Hinge assembly snapped,True
WC-88400,HPSAMSUNGCHROM-CEL-4.0-16.0,SSD-HPSAMSUNGCHROM-G1,Storage,2026-05-03,SMART errors / failing drive,True
WC-88401,HPSAMSUNGCHROM-CEL-4.0-16.0,KB-HPSAMSUNGCHROM-G1,Keyboard,2026-02-07,Sticky keys after spill,True
WC-88402,HPSAMSUNGCHROM2-I3-8.0-UNK,HNG-HPSAMSUNGCHROM2-G1,Chassis/Hinge,2026-06-29,Hinge assembly snapped,True
